lat,lon,category,label
39.4370,-82.2746,insects,Insect damage
35.3320,-95.8670,fire,Ground fire
44.8240,-115.2245,fire,Fire damage (general)
37.5227,-119.4243,disease,Disease damage to trees
45.1044,-121.4684,disease,Disease damage to trees
30.7311,-83.8214,fire,Ground fire
36.7642,-106.4670,insects,Insect damage
38.5105,-108.5365,animal,Beaver
39.9738,-82.2930,insects,Insect damage to trees
45.3623,-123.3866,disease,Disease damage to trees
37.3502,-84.6000,insects,Insect damage to trees
33.2280,-79.2622,fire,Ground fire
41.6216,-81.3132,vegetation,Vegetation (competition/vines)
35.4642,-78.3483,weather,Flooding
44.8219,-94.2629,vegetation,Vegetation (competition/vines)
36.6385,-106.1242,insects,Insect damage
48.7317,-118.7925,insects,Insect damage to trees
39.2876,-84.8086,vegetation,Vegetation (competition/vines)
48.2891,-119.1037,insects,Insect damage to trees
32.2056,-87.9084,disease,Disease damage
40.6030,-122.8729,insects,Insect damage to trees
47.6348,-92.3526,animal,Deer/ungulate
42.7330,-71.7649,vegetation,Vegetation (competition/vines)
36.7607,-111.9345,insects,Insect damage
38.9496,-94.2335,weather,Ice
43.0226,-74.0927,insects,Insect damage
36.9341,-92.8391,weather,Wind/hurricane/tornado
45.1997,-111.8918,insects,Insect damage
45.5229,-69.7742,disease,Disease damage
44.4248,-119.7027,insects,Insect damage to trees
31.3738,-110.3857,animal,Domestic animal/livestock
45.7847,-89.7045,animal,Domestic animal/livestock
46.9145,-111.0701,insects,Insect damage to trees
31.2319,-95.4209,fire,Ground fire
34.9174,-83.5252,insects,Insect damage to trees
36.4617,-105.4474,insects,Insect damage to trees
41.0894,-122.8986,disease,Disease damage to trees
31.5021,-88.6687,fire,Ground fire
42.4082,-104.9377,disease,Disease damage to trees
34.8628,-84.5619,insects,Insect damage to trees
46.5973,-110.8054,animal,Domestic animal/livestock
43.0661,-86.0508,weather,Flooding
37.1386,-121.4068,fire,Ground fire
37.0438,-92.1001,animal,Domestic animal/livestock
41.8697,-92.2158,disease,Disease damage to trees
34.1602,-86.9271,animal,Domestic animal/livestock
36.7111,-91.3105,animal,Domestic animal/livestock
44.1200,-89.7725,disease,Disease damage to trees
34.4875,-77.6453,fire,Fire damage (general)
48.4216,-120.3646,insects,Insect damage to trees
33.5703,-83.3479,animal,Domestic animal/livestock
42.4080,-120.5685,animal,Domestic animal/livestock
39.7876,-106.3977,insects,Insect damage
34.1131,-95.8643,animal,Beaver
48.7165,-119.7225,disease,Disease damage to trees
40.8180,-75.0041,insects,Insect damage to trees
35.2938,-86.1835,animal,Domestic animal/livestock
36.6376,-93.1143,animal,Domestic animal/livestock
36.5004,-93.1736,animal,Domestic animal/livestock
36.2180,-81.3871,other,Human-induced
43.2403,-122.2614,insects,Insect damage
46.9281,-110.7618,insects,Insect damage to trees
46.5719,-88.4385,insects,Insect damage to trees
38.3890,-119.7020,insects,Insect damage to trees
37.6102,-79.5465,insects,Insect damage
43.1334,-123.3264,animal,Domestic animal/livestock
47.1325,-116.0779,disease,Disease damage to trees
42.7811,-96.6141,animal,Domestic animal/livestock
44.4823,-73.9619,weather,Wind/hurricane/tornado
34.8733,-101.2801,fire,Fire damage (general)
38.9767,-95.7538,vegetation,Vegetation (competition/vines)
43.5563,-124.2180,disease,Disease damage to trees
34.5201,-89.1956,other,Human-induced
31.4389,-88.8356,fire,Ground fire
47.0122,-121.0887,disease,Disease damage to trees
46.4426,-68.8882,disease,Disease damage to trees
40.2198,-97.7946,animal,Domestic animal/livestock
45.6936,-115.7759,insects,Insect damage to trees
39.0490,-83.3991,insects,Insect damage
36.7959,-93.1833,fire,Ground fire
45.1227,-119.1040,animal,Domestic animal/livestock
45.0594,-109.9283,insects,Insect damage
43.9463,-114.0106,animal,Domestic animal/livestock
31.2002,-86.9819,fire,Ground fire
43.2265,-89.0784,insects,Insect damage to trees
44.6240,-121.6843,fire,Ground fire
39.0640,-80.8652,vegetation,Vegetation (competition/vines)
31.4931,-87.1947,insects,Insect damage to trees
42.3813,-120.6723,insects,Insect damage to trees
34.5717,-79.6725,animal,Beaver
41.2345,-106.1904,disease,Disease damage to trees
47.8170,-120.5092,disease,Disease damage
47.4063,-120.9654,insects,Insect damage
37.3422,-88.1913,weather,Ice
43.1834,-83.7815,insects,Insect damage
37.3449,-121.3314,animal,Domestic animal/livestock
35.1234,-89.0529,vegetation,Vegetation (competition/vines)
36.9285,-87.6973,weather,Ice
36.1709,-92.0169,fire,Ground fire
35.1961,-95.5011,fire,Ground fire
30.6428,-83.9246,fire,Ground fire
33.1528,-81.3854,fire,Ground fire
45.2023,-69.5378,other,Human-induced
35.1187,-95.9282,weather,Flooding
38.5926,-79.3474,animal,Domestic animal/livestock
41.3722,-96.4283,weather,Flooding
30.4053,-99.8843,weather,Drought
38.0071,-93.1642,animal,Domestic animal/livestock
30.8422,-89.7577,weather,Flooding
38.8845,-122.6850,fire,Crown fire
30.0914,-84.6866,fire,Ground fire
47.5602,-114.7394,disease,Disease damage to trees
48.2250,-114.0436,disease,Disease damage to trees
38.5357,-82.5204,insects,Insect damage
42.9550,-121.0532,disease,Disease damage
39.1197,-111.5817,geologic,Landslide
33.8931,-110.0319,fire,Fire damage (general)
34.9134,-77.6428,weather,Weather damage
43.2388,-121.5496,disease,Disease damage to trees
39.7594,-79.9912,vegetation,Vegetation (competition/vines)
35.2031,-95.6108,disease,Disease damage
48.7765,-121.5512,geologic,Avalanche
33.7808,-86.4104,fire,Ground fire
34.2621,-80.2216,weather,Wind/hurricane/tornado
36.6806,-106.4053,disease,Disease damage to trees
38.7606,-79.7126,insects,Insect damage
45.4257,-122.6974,other,Human-induced
43.4587,-122.6563,weather,Wind/hurricane/tornado
40.8079,-114.5682,disease,Disease damage to trees
31.0693,-89.4983,fire,Ground fire
38.5276,-81.9809,insects,Insect damage
46.2543,-84.2093,insects,Insect damage
40.0322,-107.6344,insects,Insect damage to trees
36.1068,-118.6461,insects,Insect damage to trees
35.4588,-94.9753,other,Human-induced
34.5704,-80.2010,fire,Ground fire
33.0326,-87.2003,fire,Ground fire
46.1818,-85.8822,weather,Flooding
44.4359,-116.1266,insects,Insect damage to trees
38.2530,-85.4385,other,Human-induced
43.9303,-115.8811,fire,Ground fire
43.8172,-113.6117,animal,Domestic animal/livestock
28.2000,-82.0822,fire,Ground fire
44.2326,-124.1035,weather,Drought
31.0924,-89.0738,fire,Ground fire
36.0836,-90.5801,weather,Ice
45.0575,-119.3534,disease,Disease damage to trees
43.6876,-74.8263,disease,Disease damage to trees
37.9574,-93.2464,animal,Domestic animal/livestock
46.2841,-110.4177,disease,Disease damage to trees
44.2439,-103.5531,other,Human-induced
26.3791,-81.0746,fire,Ground fire
36.1630,-118.5960,insects,Insect damage
