lat,lon,category,label
44.9617,-92.0157,disease,Stem decay
32.8484,-92.2644,disease,Stem decay
47.4057,-95.0391,disease,Stem decay
43.8771,-71.5458,sucking insects,Balsam woolly adelgid
47.3282,-93.2958,disease,Stem decay
47.8345,-93.6428,other,Other damages
43.3550,-76.5039,disease,Stem decay
45.1080,-67.8121,disease,Stem decay
38.5600,-75.6900,disease,Stem decay
37.3833,-82.9819,disease,Root/butt diseases
44.0245,-89.3701,animal,Wild animals
39.5694,-91.9534,animal,Wild animals
30.5431,-94.2828,disease,Root/butt diseases
32.1809,-89.9704,disease,Stem decay
35.8926,-91.4703,disease,Stem decay
44.3890,-120.0486,animal,Wild animals
30.7753,-88.8871,disease,Stem decay
39.1897,-81.4369,disease,Stem decay
33.7151,-86.1861,disease,Stem decay
47.4240,-91.9927,disease,Stem decay
44.4706,-89.2028,animal,Wild animals
31.9707,-109.3765,disease,Stem decay
37.8703,-119.5599,disease,Cankers (non-rust)
30.7100,-84.2348,disease,Stem decay
34.6120,-110.5600,disease,Stem decay
47.9694,-91.8500,other,Other damages
40.9894,-79.6782,disease,Stem decay
36.0033,-92.9908,disease,Root/butt diseases
47.2343,-93.9372,disease,Stem decay
37.6715,-91.2253,disease,Stem decay
37.9049,-104.9984,insects,Defoliators
30.2025,-84.7013,fire,Fire
32.3424,-86.8412,disease,Stem decay
44.1241,-91.0471,disease,Stem decay
37.4178,-107.8848,disease,Stem decay
40.4224,-83.0134,disease,Stem decay
43.6161,-73.5380,disease,Stem decay
32.6054,-83.9902,canker/rust,Fusiform rust
36.4457,-84.7869,disease,Root/butt diseases
31.5046,-94.2124,disease,Stem decay
32.2177,-88.0034,canker/rust,Fusiform rust
43.3732,-107.4751,disease,Stem decay
37.2687,-79.2308,disease,Stem decay
33.4301,-95.2082,disease,Stem decay
37.2753,-78.0232,disease,Stem decay
32.3819,-82.2352,disease,Stem decay
44.5829,-69.0889,canker/rust,Beech bark disease
36.7933,-118.6682,fire,Fire
47.1051,-93.8306,animal,Wild animals
34.8220,-84.0567,disease,Stem decay
37.5285,-82.7492,disease,Decline complexes/dieback/wilts
37.5106,-113.4455,unknown,Unknown
37.9241,-79.6327,fire,Fire
46.2555,-90.3877,other,Other damages
33.4438,-91.5284,disease,Stem decay
35.6919,-89.1674,disease,Stem decay
47.1798,-91.6435,disease,Stem decay
36.9684,-83.6630,disease,Parasitic/epiphytic plants
38.6056,-78.2775,fire,Fire
31.9275,-81.8681,disease,Root/butt diseases
42.3519,-73.4147,disease,Stem decay
36.3182,-82.0521,disease,Stem decay
46.4617,-85.0170,other,Other damages
47.1484,-91.7665,disease,Stem decay
36.4716,-80.7902,disease,Stem decay
40.3944,-75.8065,disease,Stem decay
43.2718,-85.0133,boring insects,Emerald ash borer
30.9194,-85.6010,disease,Stem decay
46.5258,-92.2075,other,Other damages
44.9616,-67.3879,animal,Wild animals
43.0386,-88.4089,disease,Stem decay
44.7072,-111.3741,disease,Cankers (non-rust)
30.8422,-91.9634,abiotic,Abiotic damage
38.0025,-81.7988,disease,Stem decay
38.6902,-82.5495,disease,Stem decay
41.0798,-122.5409,disease,Root/butt diseases
35.9173,-77.0739,disease,Stem decay
47.8345,-93.6428,insects,Boring insects
37.3914,-83.5046,canker/rust,Fusiform rust
46.2638,-92.0023,insects,Bark beetles
35.1062,-82.5908,disease,Cankers (non-rust)
47.7732,-92.4668,human,Human activities
31.1709,-89.2067,disease,Stem decay
43.1497,-71.6593,animal,Wild animals
41.8040,-78.3142,disease,Stem decay
45.5467,-68.3939,defoliators,Gypsy moth
40.6709,-76.7258,defoliators,Gypsy moth
30.5784,-90.9131,disease,Stem decay
35.3733,-92.2240,disease,Stem decay
38.3162,-80.1088,other,Other damages
35.8654,-91.8588,disease,Stem decay
33.9779,-78.8960,disease,Stem decay
46.2218,-90.1511,disease,Cankers (non-rust)
38.0127,-91.3254,disease,Stem decay
43.2097,-71.7161,disease,Stem decay
41.1667,-84.4277,other,Other damages
47.9284,-92.1454,animal,Wild animals
41.2550,-77.0195,disease,Stem decay
40.9053,-76.2532,disease,Cankers (non-rust)
46.4041,-89.0762,disease,Stem decay
32.9781,-84.2452,disease,Root/butt diseases
44.3268,-74.1053,human,Human activities
30.6246,-93.2193,unknown,Unknown
44.0318,-91.0229,disease,Stem decay
46.2055,-70.1974,human,Human activities
36.7337,-81.7874,disease,Stem decay
39.2669,-81.8325,disease,Stem decay
36.3513,-79.4940,disease,Stem decay
43.7342,-122.5562,disease,Foliage diseases
44.3468,-71.4252,sucking insects,Beech scale
32.2680,-90.5774,disease,Stem decay
29.7583,-100.6517,disease,Stem decay
43.1601,-73.9293,insects,General insects
45.5422,-67.5815,human,Human activities
36.7697,-77.8135,disease,Stem decay
36.0975,-84.5953,disease,Stem decay
44.9027,-67.5349,disease,Stem decay
35.1427,-91.6323,disease,Stem decay
34.7390,-84.5460,animal,Wild animals
32.6946,-81.5455,disease,Root/butt diseases
38.6240,-105.6332,disease,Stem decay
46.0268,-68.9460,disease,Stem decay
40.5233,-75.0801,animal,Wild animals
42.6824,-77.1908,disease,Stem decay
41.9470,-78.7913,disease,Stem decay
33.1737,-80.0039,disease,Stem decay
33.1397,-93.0786,disease,Foliage diseases
31.1186,-83.1323,disease,Root/butt diseases
43.9732,-103.4473,disease,Stem rusts
39.2702,-79.6595,disease,Stem decay
39.0990,-107.4862,disease,Stem decay
47.8870,-96.0240,disease,Stem decay
45.0941,-83.3569,disease,Stem decay
31.8991,-96.4015,disease,Stem decay
45.6755,-68.4687,disease,Stem decay
39.5032,-81.2584,disease,Stem decay
42.7912,-123.6377,disease,Stem decay
47.6458,-90.7823,insects,Boring insects
37.7102,-82.0722,disease,Stem decay
43.7982,-92.1783,disease,Stem decay
37.0358,-84.7287,disease,Root/butt diseases
36.6694,-84.7931,disease,Root/butt diseases
34.1163,-110.6736,disease,Stem decay
33.6942,-95.5283,disease,Stem decay
48.9515,-117.0927,animal,Wild animals
48.3830,-92.8488,defoliators,Spruce budworm
43.8924,-103.9364,animal,Wild animals
31.3554,-86.8164,disease,Cankers (non-rust)
35.3958,-90.7177,disease,Stem decay
34.9654,-84.3878,disease,Root/butt diseases
32.5330,-88.8444,disease,Stem decay
44.8308,-72.0118,other,Other damages
43.8107,-71.4708,disease,Stem decay
45.9239,-94.3571,animal,Wild animals
36.2319,-115.6064,disease,Root/butt diseases
35.4176,-95.7724,disease,Stem decay
35.9922,-95.2640,disease,Root/butt diseases
43.4979,-72.3211,animal,Wild animals
43.3005,-74.1837,disease,Stem decay
45.3128,-68.4338,insects,Boring insects
37.9380,-82.3888,disease,Stem decay
47.0220,-67.8997,disease,Stem decay
47.6046,-92.5196,other,Other damages
46.9013,-92.0998,disease,Stem decay
44.0310,-69.5650,disease,Stem decay
47.4333,-120.7074,fire,Fire
48.3144,-113.8971,insects,Defoliators
37.5770,-109.5838,disease,Stem decay
34.4495,-94.9280,disease,Stem decay
38.1639,-106.8228,bark beetles,Spruce beetle
29.6564,-96.5531,disease,Stem decay
36.8536,-82.3329,insects,Bark beetles
35.2029,-88.1867,disease,Stem decay
37.6790,-86.6047,abiotic,Abiotic damage
36.0962,-90.4271,disease,Stem decay
45.8564,-87.0614,disease,Stem decay
46.7306,-110.6671,defoliators,Western spruce budworm
38.4778,-86.5027,competition,Competition
34.9773,-94.5521,disease,Stem decay
45.9172,-116.0312,disease,Stem rusts
35.2939,-95.7112,disease,Stem decay
44.6840,-122.4184,other,Other damages
33.5426,-86.3847,abiotic,Abiotic damage
43.6594,-122.4157,disease,Stem decay
43.1530,-90.7311,disease,Stem decay
45.6939,-89.8108,other,Other damages
31.9308,-89.3409,disease,Stem decay
27.3679,-99.3600,disease,Stem decay
38.9340,-88.8778,insects,Boring insects
40.0424,-79.2857,animal,Wild animals
44.6021,-88.6626,disease,Stem decay
41.8010,-72.2295,other,Other damages
48.6386,-118.3185,fire,Fire
44.7960,-70.2471,disease,Stem decay
48.9662,-96.7774,disease,Cankers (non-rust)
45.5511,-123.7403,disease,Stem decay
31.7161,-90.6640,disease,Stem decay
46.2385,-121.6577,disease,Stem decay
37.3413,-121.2830,disease,Stem decay
45.6647,-68.5900,animal,Wild animals
40.6702,-76.1446,defoliators,Gypsy moth
37.8063,-86.5857,disease,Root/butt diseases
44.1218,-71.2514,disease,Stem decay
44.3082,-111.3680,disease,Cankers (non-rust)
36.9986,-106.2392,disease,Cankers (non-rust)
41.8197,-78.6812,disease,Stem decay
44.8035,-93.4097,animal,Wild animals
29.9019,-82.2273,canker/rust,Fusiform rust
31.4610,-84.7030,disease,Stem decay
43.7825,-118.8421,disease,Stem decay
44.0544,-84.2835,boring insects,Emerald ash borer
48.4907,-92.7920,animal,Wild animals
46.1014,-84.9604,disease,Stem decay
46.6808,-92.0272,other,Other damages
31.7762,-92.5178,disease,Stem decay
45.3573,-84.9237,disease,General diseases
33.0904,-84.4830,abiotic,Abiotic damage
34.2161,-91.1580,disease,Stem decay
46.2483,-89.6405,disease,Stem decay
46.0120,-68.8888,disease,Stem decay
30.9044,-84.0976,insects,Bark beetles
37.8776,-83.3667,disease,Stem decay
31.6837,-86.1226,disease,Stem decay
45.1262,-90.3560,disease,Cankers (non-rust)
31.6029,-81.9192,canker/rust,Fusiform rust
38.9557,-84.2439,disease,Stem decay
44.3770,-92.0848,foliage/wilt disease,Dutch elm disease
43.0978,-72.7561,disease,Stem decay
44.2378,-74.9150,disease,Stem decay
36.9601,-92.5692,animal,Wild animals
37.2963,-91.1194,disease,Stem decay
32.1939,-94.0036,disease,Stem decay
33.7585,-83.9137,disease,Stem decay
36.0491,-93.2009,disease,Stem decay
41.7518,-90.0221,disease,Stem decay
38.7355,-123.1976,disease,Stem decay
38.5306,-84.5452,disease,Root/butt diseases
37.0286,-87.9446,disease,Root/butt diseases
36.9788,-83.5666,disease,Root/butt diseases
40.5971,-82.2328,disease,Stem decay
37.8053,-91.9539,fire,Fire
30.7577,-91.6607,insects,Boring insects
41.3269,-81.0255,disease,Cankers (non-rust)
44.2081,-87.6191,other,Other damages
41.2608,-78.7246,other,Other damages
44.9353,-67.8639,sucking insects,Balsam woolly adelgid
34.9297,-83.5536,disease,Stem decay
34.2712,-85.3179,canker/rust,Fusiform rust
35.1027,-108.5053,insects,Bark beetles
35.1987,-92.7514,disease,Stem decay
32.7929,-94.5080,disease,Stem decay
46.3726,-86.6140,disease,Stem decay
40.9677,-122.6039,disease,Stem decay
32.5801,-98.0557,disease,Stem decay
38.5965,-86.6699,disease,Stem decay
45.8948,-91.0928,other,Other damages
35.2975,-108.0424,abiotic,Abiotic damage
38.0937,-87.1990,boring insects,Emerald ash borer
46.1444,-68.4692,disease,Stem decay
47.2583,-95.4507,animal,Wild animals
35.9096,-91.8535,disease,Stem decay
44.6053,-93.8342,other,Other damages
29.9508,-100.1756,disease,Stem decay
31.7367,-88.0655,canker/rust,Fusiform rust
34.8104,-79.3919,canker/rust,Fusiform rust
45.0294,-71.0699,disease,Stem decay
34.7373,-93.8670,disease,Stem decay
39.5528,-87.4583,disease,Stem decay
45.9976,-92.5351,insects,General insects
41.9535,-113.6909,animal,Wild animals
35.7245,-93.8560,disease,Root/butt diseases
