lat,lon,status
34.9980,-86.8726,Clean
28.6092,-98.9366,Clean
37.3220,-86.1777,Clean
43.6579,-85.7152,Clean
44.7526,-88.9187,Excluded
48.7905,-95.7345,Clean
34.7910,-97.4535,Clean
43.6053,-121.7443,Clean
36.3167,-121.7642,Clean
35.7329,-84.6917,Clean
44.9429,-119.8062,Clean
38.9008,-85.3539,Excluded
33.7136,-83.1648,Clean
34.4194,-87.8631,Clean
31.7656,-101.7296,Excluded
35.1993,-95.7678,Clean
34.7753,-88.2606,Excluded
33.6840,-88.0192,Clean
36.0005,-83.4782,Clean
33.9838,-79.6461,Clean
39.9116,-77.6151,Clean
46.8543,-95.2066,Clean
44.5055,-69.8075,Clean
38.5294,-91.4223,Clean
32.0385,-100.8212,Clean
42.9666,-73.0814,Clean
33.6078,-82.9760,Clean
45.6123,-90.0683,Clean
30.9170,-87.4739,Clean
35.3725,-93.2219,Excluded
47.0092,-113.8939,Clean
34.8960,-95.6119,Clean
47.3281,-122.8715,Clean
34.6342,-81.6162,Clean
45.2181,-114.4508,Clean
35.5363,-77.0924,Clean
32.3169,-101.1678,Clean
37.5799,-80.0997,Clean
35.5939,-92.1375,Clean
44.2162,-89.2753,Clean
34.9668,-89.2036,Clean
33.9038,-85.8855,Clean
37.2095,-81.0605,Clean
43.3384,-120.7390,Clean
32.0810,-84.9152,Clean
37.3907,-89.3336,Clean
44.5384,-89.1963,Clean
44.1624,-85.7153,Clean
41.8918,-123.2113,Clean
44.7637,-69.7903,Clean
33.9665,-89.1087,Excluded
46.1558,-89.0094,Clean
44.3014,-93.9685,Clean
47.5026,-93.7829,Clean
35.3456,-88.9996,Excluded
32.6136,-90.5270,Excluded
33.0644,-94.0978,Excluded
37.8107,-84.0905,Excluded
44.7569,-92.0943,Clean
43.4390,-83.4448,Clean
38.3333,-107.2878,Clean
48.2055,-109.5821,Clean
43.6855,-89.7536,Clean
40.5443,-94.1652,Clean
36.5758,-94.4781,Excluded
43.6940,-114.9557,Clean
45.1927,-68.7150,Excluded
47.4521,-123.6155,Clean
45.6445,-90.6099,Clean
30.2703,-84.5532,Clean
38.3830,-108.7740,Clean
34.6435,-93.2687,Clean
32.4831,-85.0555,Excluded
38.9378,-105.2911,Clean
32.1466,-92.2662,Clean
45.9890,-92.3498,Clean
48.4484,-95.2484,Clean
31.5178,-84.9240,Clean
33.7493,-116.7102,Clean
47.2558,-94.5249,Clean
26.7263,-99.0415,Clean
34.9670,-84.3086,Clean
47.6026,-94.6460,Excluded
40.9250,-76.6892,Clean
37.5585,-119.8608,Clean
32.8238,-82.9924,Clean
