VALUE,MEANING,TYPGRPCD,MANUAL_START,MANUAL_END,ALLOWED_IN_FIELD,CREATED_DATE,MODIFIED_DATE
362,Southwestern white pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:51
363,Bishop pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:18:57
364,Monterey pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:25
365,Foxtail pine / bristlecone pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:41:36
366,Limber pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:19
367,Whitebark pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:53
368,Miscellaneous western softwoods,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:24
369,Western juniper,360,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:58
370,California mixed conifer group,370,1.7,,N,2005-02-23 13:29:32,
371,California mixed conifer,370,1.7,,Y,2005-02-23 13:29:32,
380,Exotic softwoods group,380,1.7,,N,2005-02-23 13:29:32,2009-01-28 09:02:00
381,Scotch pine,380,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:47
382,retired (Australian pine),380,1.7,3.0,Y,2005-02-23 13:29:33,
383,Other exotic softwoods,380,1.7,,Y,2005-02-23 13:29:33,2009-01-28 09:19:32
384,Norway spruce,380,1.7,,Y,2005-02-23 13:29:33,2009-01-28 09:19:28
385,Introduced larch,380,1.7,,Y,2005-02-23 13:29:33,2009-01-28 09:19:16
390,Other softwoods group,390,4.0,,Y,2006-10-12 00:00:00,2009-01-28 08:41:41
391,Other softwoods,390,4.0,,Y,2006-10-12 00:00:00,2009-01-28 08:41:42
400,Oak / pine group,400,1.7,,N,2005-02-23 13:29:33,2009-01-28 08:41:42
401,Eastern white pine / northern red oak / white ash,400,1.7,,Y,2005-02-23 13:29:33,2009-01-28 08:41:43
402,Eastern redcedar / hardwood,400,1.7,,Y,2005-02-23 13:29:33,2009-01-28 08:41:44
403,Longleaf pine / oak,400,1.7,,Y,2005-02-23 13:29:33,2009-01-28 08:41:44
404,Shortleaf pine / oak,400,1.7,,Y,2005-02-23 13:29:33,2009-01-28 08:41:45
405,Virginia pine / southern red oak,400,1.7,,Y,2005-02-23 13:29:33,2009-01-28 08:41:45
406,Loblolly pine / hardwood,400,1.7,,Y,2005-02-23 13:29:33,2009-01-28 08:41:46
407,Slash pine / hardwood,400,1.7,,Y,2005-02-23 13:29:33,2009-01-28 08:41:47
409,Other pine / hardwood,400,1.7,,Y,2005-02-23 13:29:33,
