model_id,group,group_label,response,term,estimate,std_error,statistic,p_value,conf_low,conf_high
trees__precipitation,trees,Adults,precipitation,disease_cumulative_mortality_pct,-0.132605611331774,0.0279556435680763,-4.74342903281258,2.10521812759533e-06,-0.187398562401307,-0.0778126602622403
trees__precipitation,trees,Adults,precipitation,cumulative_site_CWD_mm,-0.000254508227204764,3.45891868249418e-05,-7.35802863747121,1.88571628126775e-13,-0.000322302896879199,-0.000186713557530329
trees__precipitation,trees,Adults,precipitation,full_survey_period_years,0.244008975920089,0.0334989505154414,7.28407822231963,3.27087855187123e-13,0.178351165109777,0.309666786730402
community__precipitation,community,Combined saplings + adults,precipitation,(Intercept),1.11921573405418,0.597810691591502,1.87219089554017,0.061184005534212,-0.0524902067330364,2.2909216748414
community__precipitation,community,Combined saplings + adults,precipitation,fire_cumulative_mortality_pct,-0.122126443037892,0.0366256237265348,-3.33445360411468,0.000855076943953495,-0.193912480840546,-0.0503404052352385
community__precipitation,community,Combined saplings + adults,precipitation,insect_cumulative_mortality_pct,-0.0560348903262973,0.0248561978660109,-2.25436290088924,0.0241761603824078,-0.104752912795003,-0.00731686785759123
community__precipitation,community,Combined saplings + adults,precipitation,disease_cumulative_mortality_pct,-0.0675388270614023,0.0348920667613542,-1.93564994367737,0.0529142645209944,-0.135927101954551,0.000849447831746189
community__precipitation,community,Combined saplings + adults,precipitation,cumulative_site_CWD_mm,-0.000352729434201425,4.10659369173811e-05,-8.58934339939857,8.90771459728718e-18,-0.00043321846346584,-0.00027224040493701
community__precipitation,community,Combined saplings + adults,precipitation,full_survey_period_years,0.286731809022016,0.0404038832445066,7.0966398770841,1.28930718998774e-12,0.207540401617728,0.365923216426303
saplings__CWD,saplings,Saplings,CWD,(Intercept),-1.87918619750975,0.723580952274243,-2.59706421458911,0.00940516262960114,-3.29741282433444,-0.460959570685061
saplings__CWD,saplings,Saplings,CWD,fire_cumulative_mortality_pct,0.00274437434640876,0.0827785877621472,0.0331531911886966,0.973552556738821,-0.159502568343601,0.164991317036418
saplings__CWD,saplings,Saplings,CWD,insect_cumulative_mortality_pct,0.194713884823114,0.0553603272994458,3.51720978400111,0.000436491923382891,0.0862070342778742,0.303220735368354
saplings__CWD,saplings,Saplings,CWD,disease_cumulative_mortality_pct,0.00623780085964039,0.0505784391412024,0.123329247907908,0.90184687236019,-0.0928964962882183,0.105372098007499
saplings__CWD,saplings,Saplings,CWD,cumulative_site_CWD_mm,0.000217896188951946,8.08099930713568e-05,2.69640152993874,0.00701163735468251,5.95077135130843e-05,0.000376284664390807
saplings__CWD,saplings,Saplings,CWD,full_survey_period_years,-0.123999954455427,0.0471127287067624,-2.63198413378312,0.0084913658252291,-0.216341421024291,-0.0316584878865637
trees__CWD,trees,Adults,CWD,(Intercept),-1.6029325606552,0.417845416156163,-3.83618558126322,0.000125063644732561,-2.42190792733995,-0.783957193970456
trees__CWD,trees,Adults,CWD,fire_cumulative_mortality_pct,0.132605867037333,0.026860742080005,4.93679089886516,7.95909979468238e-07,0.0799589185635104,0.185252815511156
trees__CWD,trees,Adults,CWD,insect_cumulative_mortality_pct,0.100562237218777,0.0224052802930309,4.48832756848202,7.1892608400397e-06,0.0566479762644302,0.144476498173124
trees__CWD,trees,Adults,CWD,disease_cumulative_mortality_pct,0.189783924414325,0.0314899253707776,6.02681404226008,1.68010998606179e-09,0.128063794959154,0.251504053869495
trees__CWD,trees,Adults,CWD,cumulative_site_CWD_mm,0.000192672486830672,4.34551234231908e-05,4.43382670794229,9.27081094784997e-06,0.00010750061641212,0.000277844357249224
trees__CWD,trees,Adults,CWD,full_survey_period_years,0.0120898404640572,0.026878068222151,0.449803176483257,0.652853685194744,-0.040591067179996,0.0647707481081104
community__CWD,community,Combined saplings + adults,CWD,(Intercept),-1.51859541403473,0.517817695034805,-2.93268350733488,0.00336145731412938,-2.53351548497187,-0.503675343097601
community__CWD,community,Combined saplings + adults,CWD,fire_cumulative_mortality_pct,0.100159059812902,0.0345676938362978,2.89747590010562,0.00376285205173948,0.0324065542170663,0.167911565408738
community__CWD,community,Combined saplings + adults,CWD,insect_cumulative_mortality_pct,0.132033281656646,0.0293190735926507,4.5033237915724,6.69973992898674e-06,0.0745680452698052,0.189498518043487
community__CWD,community,Combined saplings + adults,CWD,disease_cumulative_mortality_pct,0.171256026918771,0.0370848908623761,4.61794609438951,3.88185600337198e-06,0.0985698278459318,0.243942225991611
community__CWD,community,Combined saplings + adults,CWD,cumulative_site_CWD_mm,0.000274351460934627,5.1198639584237e-05,5.35856935189141,8.41250791491307e-08,0.000174002385541933,0.000374700536327321
community__CWD,community,Combined saplings + adults,CWD,full_survey_period_years,-0.100074454589096,0.0333212556554672,-3.00332183228144,0.00267136068075363,-0.165383947636235,-0.0347649615419572
