species_key,SPCD,scientific_name,common_name,n_condition_rows,treecount_total,treecount_calc_total,seedlings_tpa,cwm_weight_total
fia_spcd:8522,8522,Santalum paniculatum,mountain sandalwood,2,3,3,224.895847,224.895847
fia_spcd:8774,8774,Tetraplasandra oahuensis,ohe mauka,2,3,3,224.895847,224.895847
fia_spcd:10,10,Abies spp.,fir spp.,3,3,3,224.895846,224.895846
fia_spcd:6722,6722,Coprosma rhynchocarpa,woodland mirrorplant,3,3,3,224.895846,224.895846
fia_spcd:6911,6911,Diospyros sandwicensis,lama,3,3,3,224.895846,224.895846
fia_spcd:8392,8392,Psychotria mariniana,forest wild coffee,3,3,3,224.895846,224.895846
fia_spcd:6244,6244,Bobea sandwicensis,Hawaii dogweed,1,2,2,149.930565,149.930565
fia_spcd:6504,6504,Charpentiera tomentosa,Waianae Range papala,1,2,2,149.930565,149.930565
fia_spcd:6837,6837,Cyathea cooperi,Cooper's cyathea,1,2,2,149.930565,149.930565
fia_spcd:6958,6958,Dubautia spp.,dubautia,1,2,2,149.930565,149.930565
fia_spcd:7749,7749,Melicope radiata,kapu melicope,1,2,2,149.930565,149.930565
fia_spcd:8388,8388,Psychotria kaduana,kopiko kea,1,2,2,149.930565,149.930565
fia_spcd:857,857,Casuarina lepidophloia,belah,1,2,2,149.930565,149.930565
fia_spcd:8738,8738,Taxus baccata,English yew,1,2,2,149.930565,149.930565
fia_spcd:683,683,Morus microphylla,Texas mulberry,2,2,2,149.930564,149.930564
fia_spcd:7978,7978,Ochna thomasiana,Thomas birds-eye bush,1,2,2,149.930564,149.930564
fia_spcd:8831,8831,Trema orientalis,oriental trema,2,2,2,149.930564,149.930564
fia_spcd:909,909,Roystonea spp.,royal palm spp.,2,2,2,149.930564,149.930564
fia_spcd:220,220,Taxodium spp.,baldcypress spp.,1,1,1,74.965282,74.965282
fia_spcd:378,378,Betula x utahensis,northwestern paper birch,1,1,1,74.965282,74.965282
fia_spcd:5800,5800,Cupressocyparis leylandii,Leyland cypress,1,1,1,74.965282,74.965282
fia_spcd:6111,6111,Anadenanthera peregrina,Anadenanthera peregrina,1,1,1,74.965282,74.965282
fia_spcd:6143,6143,Antidesma pulvinatum,hame,1,1,1,74.965282,74.965282
fia_spcd:6286,6286,Buddleja asiatica,dogtail,1,1,1,74.965282,74.965282
fia_spcd:6396,6396,Carica spp.,papaya,1,1,1,74.965282,74.965282
fia_spcd:6866,6866,Cyrtandra spp.,cyrtandra,1,1,1,74.965282,74.965282
fia_spcd:690,690,Nyssa spp.,tupelo spp.,1,1,1,74.965282,74.965282
fia_spcd:7188,7188,Flindersia brayleyana,Queensland maple,1,1,1,74.965282,74.965282
fia_spcd:7343,7343,Hedyotis fosbergii,Fosbergs starviolet,1,1,1,74.965282,74.965282
fia_spcd:7561,7561,Leptospermum scoparium,broom teatree,1,1,1,74.965282,74.965282
fia_spcd:7725,7725,Melicope cruciata,piloula,1,1,1,74.965282,74.965282
fia_spcd:7853,7853,Morinda trimera,noni kuahiwi,1,1,1,74.965282,74.965282
fia_spcd:7960,7960,Nestegis sandwicensis,Hawaii olive,1,1,1,74.965282,74.965282
fia_spcd:8357,8357,Prunus x yedoensis,Yoshino flowering cherry,1,1,1,74.965282,74.965282
fia_spcd:8429,8429,Quercus austrina,bastard white oak,1,1,1,74.965282,74.965282
fia_spcd:8435,8435,Rauvolfia spp.,devils-pepper,1,1,1,74.965282,74.965282
fia_spcd:8526,8526,Santalum spp.,sandalwood,1,1,1,74.965282,74.965282
fia_spcd:8555,8555,Schaefferia spp.,schaefferia,1,1,1,74.965282,74.965282
fia_spcd:8598,8598,Senna spp.,senna,1,1,1,74.965282,74.965282
fia_spcd:8609,8609,Sida fallax,yellow llima,1,1,1,74.965282,74.965282
fia_spcd:8897,8897,Wikstroemia sandwicensis,variableleaf false ohelo,1,1,1,74.965282,74.965282
fia_spcd:8908,8908,Xylosma hawaiiensis,Hawaii brushholly,1,1,1,74.965282,74.965282
