source_taxon_key,source_taxon_name,n_source_codes,source_keys,source_systems,community_layers,any_bien_range_available,any_candidate_bien_range_available,total_abundance,total_cwm_missing_weight
taxon:acer_macrophyllum,Acer macrophyllum,2,fia_spcd:312;p2veg:ACMA3,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,450560.70190981,0
taxon:acer_negundo,Acer negundo,2,fia_spcd:313;p2veg:ACNE2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,3993876.40979073,0
taxon:acer_platanoides,Acer platanoides,2,fia_spcd:320;p2veg:ACPL,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,52768.4837713151,0
taxon:acer_rubrum,Acer rubrum,2,fia_spcd:316;p2veg:ACRU,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,74032394.3356017,0
taxon:aesculus_californica,Aesculus californica,2,fia_spcd:333;p2veg:AECA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,62214.1784021912,0
taxon:ailanthus_altissima,Ailanthus altissima,2,fia_spcd:341;p2veg:AIAL,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,910393.741252075,0
taxon:alnus_oblongifolia,Alnus oblongifolia,2,fia_spcd:353;p2veg:ALOB2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,1648.62748551946,0
taxon:alnus_rhombifolia,Alnus rhombifolia,2,fia_spcd:352;p2veg:ALRH2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,23625.2557613477,0
taxon:alnus_rubra,Alnus rubra,2,fia_spcd:351;p2veg:ALRU2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,710599.837347306,0
taxon:alphitonia_ponderosa,Alphitonia ponderosa,2,fia_spcd:6089;p2veg:ALPO3,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;tree,FALSE,FALSE,26.1785234320866,0
