species_key,source_code_system,source_species_code,scientific_name,common_name,genus,specific_epithet,community_layers,growth_habits,original_bien_query_name,bien_query_scientific_name,bien_query_name,niche_taxon_name,niche_taxon_key,uses_manual_bien_override,manual_bien_override_name,override_decision,override_confidence,override_review_status,bien_range_available,range_lookup_status,range_match_status,needs_range_review,range_review_reason,range_lookup_error,source_tables,states_present,n_states,n_plot_visits,n_conditions,n_source_rows,abundance_total,in_seedlings,in_saplings,in_trees,in_shrubs,in_forbs,in_graminoids,in_p2veg_tree_layers,is_pseudo_taxon,has_scientific_name,needs_niche,source_scientific_name,recommended_bien_name,override_notes
fia_spcd:6547,fia_spcd,6547,Cibotium glaucum,hapuu,Cibotium,glaucum,sapling;seedling;tree,tree,Cibotium_glaucum,Cibotium glaucum,Cibotium_glaucum,Cibotium glaucum,bien_taxon:cibotium_glaucum,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,180,185,764,92279.6817880539,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6548,fia_spcd,6548,Cibotium menziesii,hapuu li,Cibotium,menziesii,sapling;seedling;tree,tree,Cibotium_menziesii,Cibotium menziesii,Cibotium_menziesii,Cibotium menziesii,bien_taxon:cibotium_menziesii,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,128,133,407,25642.7135956787,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6555,fia_spcd,6555,Cinnamomum burmannii,Padang cassia,Cinnamomum,burmannii,sapling;seedling;tree,tree,Cinnamomum_burmannii,Cinnamomum burmannii,Cinnamomum_burmannii,Cinnamomum burmannii,bien_taxon:cinnamomum_burmannii,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,5,6,36,16534.1483247381,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6581,fia_spcd,6581,Citrus maxima,Citrus maxima,Citrus,maxima,tree,tree,Citrus_maxima,Citrus maxima,Citrus_maxima,Citrus maxima,bien_taxon:citrus_maxima,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,1,1,1,1.30272196426596,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6703,fia_spcd,6703,Commersonia bartramia,Mao,Commersonia,bartramia,sapling,tree,Commersonia_bartramia,Commersonia bartramia,Commersonia_bartramia,Commersonia bartramia,bien_taxon:commersonia_bartramia,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,1,1,2,149.930564,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6716,fia_spcd,6716,Coprosma foliosa,forest mirrorplant,Coprosma,foliosa,seedling,tree,Coprosma_foliosa,Coprosma foliosa,Coprosma_foliosa,Coprosma foliosa,bien_taxon:coprosma_foliosa,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING,HI,1,2,2,2,224.895847,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6718,fia_spcd,6718,Coprosma longifolia,Oahu mirrorplant,Coprosma,longifolia,sapling;seedling;tree,tree,Coprosma_longifolia,Coprosma longifolia,Coprosma_longifolia,Coprosma longifolia,bien_taxon:coprosma_longifolia,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,14,14,22,2025.49236174083,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6719,fia_spcd,6719,Coprosma montana,alpine mirrorplant,Coprosma,montana,sapling;seedling,tree,Coprosma_montana,Coprosma montana,Coprosma_montana,Coprosma montana,bien_taxon:coprosma_montana,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,9,10,15,2099.027903,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6720,fia_spcd,6720,Coprosma ochracea,Maui mirrorplant,Coprosma,ochracea,sapling;seedling;tree,tree,Coprosma_ochracea,Coprosma ochracea,Coprosma_ochracea,Coprosma ochracea,bien_taxon:coprosma_ochracea,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,6,6,10,1275.83954274083,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6721,fia_spcd,6721,Coprosma pubens,pubescent mirrorplant,Coprosma,pubens,sapling;seedling;tree,tree,Coprosma_pubens,Coprosma pubens,Coprosma_pubens,Coprosma pubens,bien_taxon:coprosma_pubens,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,15,16,25,2700.42443279131,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
