species_key,source_species_code,scientific_name,common_name,gap_stage,gap_reason,cwm_missing_n_condition_rows,cwm_missing_weight_total,range_lookup_status,range_match_status,range_review_reason
fia_spcd:8296,8296,Poncirus trifoliata,hardy orange,no_bien_range_map,BIEN did not report a range map for the query binomial,7,2024.062624,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6010,6010,Acacia mearnsii,black wattle,outside_or_empty_after_study_area_clip,"A global BIEN range/niche exists, but clipping to the configured all-U.S. study-area bounding box left no usable TerraClimate rows.",3,1949.097344,available,available,
fia_spcd:6546,6546,Cibotium chamissoi,Chamissos manfern,no_bien_range_map,BIEN did not report a range map for the query binomial,9,1949.097341,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8373,8373,Psychotria hawaiiensis,kopikoula,no_bien_range_map,BIEN did not report a range map for the query binomial,16,1799.166773,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6496,6496,Chamaesyce spp.,sandmat,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,1724.201496,,,
fia_spcd:561,561,Ginkgo biloba,ginkgo,no_bien_range_map,BIEN did not report a range map for the query binomial,3,1574.270931,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6719,6719,Coprosma montana,alpine mirrorplant,no_bien_range_map,BIEN did not report a range map for the query binomial,7,1574.270929,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8549,8549,Scaevola chamissoniana,naupaka kuahiwi,no_bien_range_map,BIEN did not report a range map for the query binomial,1,1499.305649,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:90,90,Picea spp.,spruce spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",4,1424.340365,,,
fia_spcd:8420,8420,Pyrus spp.,pear spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",10,1424.340364,,,
fia_spcd:550,550,Gleditsia spp.,honeylocust spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",4,1349.375083,,,
fia_spcd:7754,7754,Melicope spp.,melicope,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",11,1349.37508,,,
fia_spcd:6718,6718,Coprosma longifolia,Oahu mirrorplant,no_bien_range_map,BIEN did not report a range map for the query binomial,9,1349.375079,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:600,600,Juglans spp.,walnut spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,1274.409802,,,
fia_spcd:7846,7846,Morella faya,firetree,no_bien_range_map,BIEN did not report a range map for the query binomial,6,1274.409799,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7927,7927,Myrsine spp.,colicwood,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",2,1199.444519,,,
fia_spcd:929,929,Salix x sepulcralis,weeping willow,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",7,1124.479235,,,
fia_spcd:6075,6075,Aleurites moluccana,Indian walnut,no_bien_range_map,BIEN did not report a range map for the query binomial,7,1124.479234,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:424,424,Castanea mollissima,Chinese chestnut,no_bien_range_map,BIEN did not report a range map for the query binomial,10,1124.479233,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7412,7412,Hibiscus tiliaceus,sea hibiscus,no_bien_range_map,BIEN did not report a range map for the query binomial,4,1049.513954,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7709,7709,Melaleuca spp.,melaleuca,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",2,1049.513954,,,
fia_spcd:370,370,Betula spp.,birch spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",6,974.54867,,,
fia_spcd:6720,6720,Coprosma ochracea,Maui mirrorplant,no_bien_range_map,BIEN did not report a range map for the query binomial,3,974.54867,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:330,330,Aesculus spp.,"buckeye, horsechestnut spp.",not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",10,899.583388,,,
fia_spcd:8892,8892,Wikstroemia oahuensis,Oahu false ohelo,no_bien_range_map,BIEN did not report a range map for the query binomial,6,899.583387,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6139,6139,Antidesma platyphyllum,ha a,no_bien_range_map,BIEN did not report a range map for the query binomial,10,899.583386,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8223,8223,Pithecellobium unguis-cati,catclaw blackbead,no_bien_range_map,BIEN did not report a range map for the query binomial,2,824.618107,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6549,6549,Cibotium spp.,manfern,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,824.618106,,,
fia_spcd:7621,7621,Macaranga mappa,pengua,no_bien_range_map,BIEN did not report a range map for the query binomial,4,824.618106,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7346,7346,Hedyotis terminalis,variable starviolet,no_bien_range_map,BIEN did not report a range map for the query binomial,7,824.618104,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:510,510,Eucalyptus spp.,eucalyptus spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,749.652825,,,
fia_spcd:6003,6003,Acacia auriculiformis,auri,no_bien_range_map,BIEN did not report a range map for the query binomial,2,749.652824,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7769,7769,Melochia umbellata,hierba del soldado,no_bien_range_map,BIEN did not report a range map for the query binomial,6,749.652822,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8612,8612,Sideroxylon celastrinum,saffron plum,no_bien_range_map,BIEN did not report a range map for the query binomial,1,674.687542,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8706,8706,Syzygium sandwicense,ohia ha,no_bien_range_map,BIEN did not report a range map for the query binomial,3,674.687542,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8856,8856,Urera glabra,hopue,no_bien_range_map,BIEN did not report a range map for the query binomial,2,674.687542,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8812,8812,Toona ciliata,Australian redcedar,no_bien_range_map,BIEN did not report a range map for the query binomial,3,674.687541,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8891,8891,Wikstroemia monticola,montane false ohelo,no_bien_range_map,BIEN did not report a range map for the query binomial,3,674.687541,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7273,7273,Grevillea robusta,silkoak,no_bien_range_map,BIEN did not report a range map for the query binomial,6,674.68754,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:991,991,Tamarix spp.,saltcedar,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",5,674.68754,,,
fia_spcd:7883,7883,Myoporum sandwicense,naio,no_bien_range_map,BIEN did not report a range map for the query binomial,6,674.687539,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8365,8365,Psychotria fauriei,Koolau Range wild coffee,no_bien_range_map,BIEN did not report a range map for the query binomial,2,599.722259,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7344,7344,Hedyotis hillebrandii,manono,no_bien_range_map,BIEN did not report a range map for the query binomial,5,599.722258,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:729,729,Platanus spp.,sycamore spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,524.756977,,,
