species_key,source_code_system,source_species_code,scientific_name,common_name,genus,specific_epithet,source_tables,community_layers,growth_habits,states_present,n_states,n_plot_visits,n_conditions,n_source_rows,abundance_total,in_seedlings,in_saplings,in_trees,in_shrubs,in_forbs,in_graminoids,in_p2veg_tree_layers,is_pseudo_taxon,has_scientific_name,needs_niche
p2veg:COREO2,nrcs_plants_symbol,COREO2,Coreopsis,tickseed,Coreopsis,,P2VEG_SUBPLOT_SPP,forb,forb,AZ;CA,2,3,3,3,43,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CORNU,nrcs_plants_symbol,CORNU,Cornus,dogwood,Cornus,,P2VEG_SUBPLOT_SPP,forb;p2veg_tree_layer;shrub,forb;large_tree;seedling_sapling_tree;shrub_vine,AK;CA;OR;WA,4,47,48,69,730.73013,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
p2veg:CORTA,nrcs_plants_symbol,CORTA,Cortaderia,pampas grass,Cortaderia,,P2VEG_SUBPLOT_SPP,graminoid,graminoid,CA,1,19,20,29,411.253294,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p2veg:CORYD,nrcs_plants_symbol,CORYD,Corydalis,fumewort,Corydalis,,P2VEG_SUBPLOT_SPP,forb,forb,OR;WA,2,2,3,4,71.14614,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CORYL,nrcs_plants_symbol,CORYL,Corylus,hazelnut,Corylus,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA;WA,2,16,16,29,202.080647,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:COTON,nrcs_plants_symbol,COTON,Cotoneaster,cotoneaster,Cotoneaster,,P2VEG_SUBPLOT_SPP,shrub,shrub_vine,CA,1,1,1,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CRASS,nrcs_plants_symbol,CRASS,Crassula,pygmyweed,Crassula,,P2VEG_SUBPLOT_SPP,forb,forb,OR;WA,2,5,6,8,45.909906,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CRATA,nrcs_plants_symbol,CRATA,Crataegus,hawthorn,Crataegus,,P2VEG_SUBPLOT_SPP,p2veg_tree_layer;shrub,large_tree;seedling_sapling_tree;shrub_vine,CA;OR;WA;WY,4,35,37,51,646.044185,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
p2veg:CREPI,nrcs_plants_symbol,CREPI,Crepis,hawksbeard,Crepis,,P2VEG_SUBPLOT_SPP,forb,forb,CA;OR;WA,3,23,30,54,332.715541,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
p2veg:CRCR6,nrcs_plants_symbol,CRCR6,Crocosmia x crocosmiiflora,montbretia,Crocosmia,x,P2VEG_SUBPLOT_SPP,forb,forb,HI,1,1,1,1,0.4605,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
