species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,growth_habits,n_states,n_plot_visits,n_conditions,abundance_total,source_tables,is_pseudo_taxon,needs_niche,bien_query_name,bien_range_available,range_lookup_status,range_match_status,needs_range_review,range_review_reason,range_lookup_error,has_global_niche,has_study_area_niche,in_cwm_missing_species,cwm_missing_n_condition_rows,cwm_missing_treecount_total,cwm_missing_seedlings_tpa,cwm_missing_weight_total,gap_stage,gap_reason,study_area_range_failure_stage,study_area_range_failure_reason,study_area_niche_missing_indicators
p2veg:CHDO,nrcs_plants_symbol,CHDO,Chaenactis douglasii,Douglas' dustymaiden,forb,forb,5,10,10,227,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Chaenactis_douglasii,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHDOA2,nrcs_plants_symbol,CHDOA2,Chaenactis douglasii var. alpina,alpine dustymaiden,forb,forb,2,2,2,20,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Chaenactis_douglasii,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHDU,nrcs_plants_symbol,CHDU,Choisya dumosa,Mexican orange,shrub,shrub_vine,2,5,6,49,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Choisya_dumosa,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHDUA,nrcs_plants_symbol,CHDUA,Choisya dumosa var. arizonica,Arizonia orange,shrub,shrub_vine,1,2,2,8,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Choisya_dumosa,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHER2,nrcs_plants_symbol,CHER2,Chaetopappa ericoides,rose heath,forb;shrub,forb;shrub_vine,3,9,9,85,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Chaetopappa_ericoides,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHER3,nrcs_plants_symbol,CHER3,Chrysothamnus eremobius,pintwater rabbitbrush,shrub,shrub_vine,1,4,4,47,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Chrysothamnus_eremobius,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHFE,nrcs_plants_symbol,CHFE,Cheilanthes feei,slender lipfern,forb,forb,1,2,3,10,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Cheilanthes_feei,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHFE2,nrcs_plants_symbol,CHFE2,Cheilanthes fendleri,Fendler's lipfern,forb,forb,2,3,3,25,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Cheilanthes_fendleri,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHFE3,nrcs_plants_symbol,CHFE3,Chamaesyce fendleri,Fendler's sandmat,forb,forb,1,1,1,6,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Chamaesyce_fendleri,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
p2veg:CHFO,nrcs_plants_symbol,CHFO,Chamaebatia foliolosa,mountain misery,shrub,shrub_vine,1,432,501,32369.931504,P2VEG_SUBPLOT_SPP,FALSE,TRUE,Chamaebatia_foliolosa,TRUE,available,available,FALSE,,,TRUE,TRUE,FALSE,,,,,usable_study_area_niche,Species has a study-area-clipped niche and is available for downstream analysis.,,,
