species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,n_states,n_plot_visits,n_conditions,abundance_total,bien_query_name,range_lookup_status,range_review_reason
fia_spcd:134,fia_spcd,134,Pinus discolor,border pinyon,seedling;tree,2,128,132,18001.059327088,Pinus_discolor,missing,No BIEN range returned
p2veg:CEMOG,nrcs_plants_symbol,CEMOG,Cercocarpus montanus var. glaber,birchleaf mountain mahogany,p2veg_tree_layer;shrub,4,712,765,17544.227609,Cercocarpus_montanus_var._glaber,missing,No BIEN range returned
p2veg:TACA8,nrcs_plants_symbol,TACA8,Taeniatherum caput-medusae,medusahead,graminoid,5,387,415,17339.721359,Taeniatherum_caput-medusae,missing,No BIEN range returned
p2veg:LEPAD,nrcs_plants_symbol,LEPAD,Ledum palustre ssp. decumbens,marsh Labrador tea,shrub,1,340,360,16980.719954,Ledum_palustre_ssp._decumbens,missing,No BIEN range returned
fia_spcd:7724,fia_spcd,7724,Melicope clusiifolia,kukaemoa,seedling;tree,1,41,41,16722.2870266343,Melicope_clusiifolia,missing,No BIEN range returned
fia_spcd:6260,fia_spcd,6260,Broussaisia arguta,kanawao,seedling;tree,1,34,34,16645.2549156653,Broussaisia_arguta,missing,No BIEN range returned
fia_spcd:6555,fia_spcd,6555,Cinnamomum burmannii,Padang cassia,seedling;tree,1,5,6,15184.7732487381,Cinnamomum_burmannii,missing,No BIEN range returned
p2veg:CIGL,nrcs_plants_symbol,CIGL,Cibotium glaucum,hapu'u,p2veg_tree_layer,1,147,151,14271.472413,Cibotium_glaucum,missing,No BIEN range returned
p2veg:ARTRW8,nrcs_plants_symbol,ARTRW8,Artemisia tridentata ssp. wyomingensis,Wyoming big sagebrush,p2veg_tree_layer;shrub,8,446,457,13734.603921,Artemisia_tridentata_ssp._wyomingensis,missing,No BIEN range returned
fia_spcd:953,fia_spcd,953,Tilia americana var. caroliniana,Carolina basswood,seedling;tree,11,358,363,13654.0778473348,Tilia_americana_var._caroliniana,missing,No BIEN range returned
fia_spcd:8402,fia_spcd,8402,Psydrax odorata,alahee,seedling;tree,1,12,12,12672.7599369529,Psydrax_odorata,missing,No BIEN range returned
p2veg:MAAQ2,nrcs_plants_symbol,MAAQ2,Mahonia aquifolium,hollyleaved barberry,shrub,4,1056,1144,12647.736093,Mahonia_aquifolium,missing,No BIEN range returned
p2veg:BOER4,nrcs_plants_symbol,BOER4,Bouteloua eriopoda,black grama,graminoid,3,523,526,12166.790914,Bouteloua_eriopoda,missing,No BIEN range returned
p2veg:TITRU,nrcs_plants_symbol,TITRU,Tiarella trifoliata var. unifoliata,oneleaf foamflower,forb,6,912,976,11869.296912,Tiarella_trifoliata_var._unifoliata,missing,No BIEN range returned
fia_spcd:412,fia_spcd,412,Carya ovalis,red hickory,seedling;tree,14,277,283,11324.3536213869,Carya_ovalis,missing,No BIEN range returned
p2veg:ABLAA,nrcs_plants_symbol,ABLAA,Abies lasiocarpa var. arizonica,corkbark fir,p2veg_tree_layer,3,406,420,10973.396968,Abies_lasiocarpa_var._arizonica,missing,No BIEN range returned
fia_spcd:7922,fia_spcd,7922,Myrsine lessertiana,kolea lau nui,seedling;tree,1,54,54,10247.5783030718,Myrsine_lessertiana,missing,No BIEN range returned
fia_spcd:7453,fia_spcd,7453,Ilex anomala,Hawaii holly,seedling;tree,1,74,75,9950.6563842056,Ilex_anomala,missing,No BIEN range returned
p2veg:ACOCO,nrcs_plants_symbol,ACOCO,Achnatherum occidentale ssp. occidentale,western needlegrass,graminoid,5,793,880,9690.562642,Achnatherum_occidentale_ssp._occidentale,missing,No BIEN range returned
fia_spcd:423,fia_spcd,423,Castanea pumila var. ozarkensis,Ozark chinkapin,seedling;tree,3,105,106,9485.28718614034,Castanea_pumila_var._ozarkensis,missing,No BIEN range returned
p2veg:ALVIF,nrcs_plants_symbol,ALVIF,Alnus viridis ssp. fruticosa,Siberian alder,p2veg_tree_layer;shrub,2,150,163,9157.56725,Alnus_viridis_ssp._fruticosa,missing,No BIEN range returned
p2veg:LUGLH,nrcs_plants_symbol,LUGLH,Luzula glabrata var. hitchcockii,Hitchcock's smooth woodrush,graminoid,5,419,448,8657.557401,Luzula_glabrata_var._hitchcockii,missing,No BIEN range returned
p2veg:URMA3,nrcs_plants_symbol,URMA3,Urochloa maxima,guineagrass,graminoid,1,57,62,8220.264795,Urochloa_maxima,missing,No BIEN range returned
p2veg:ARTRT,nrcs_plants_symbol,ARTRT,Artemisia tridentata ssp. tridentata,basin big sagebrush,shrub,9,267,282,8102.724348,Artemisia_tridentata_ssp._tridentata,missing,No BIEN range returned
p2veg:SEGR4,nrcs_plants_symbol,SEGR4,Senegalia greggii,catclaw acacia,p2veg_tree_layer;shrub,3,425,432,7737.277455,Senegalia_greggii,missing,No BIEN range returned
p2veg:TRBOL,nrcs_plants_symbol,TRBOL,Trientalis borealis ssp. latifolia,broadleaf starflower,forb,4,994,1066,7652.393552,Trientalis_borealis_ssp._latifolia,missing,No BIEN range returned
p2veg:PLMU3,nrcs_plants_symbol,PLMU3,Pleuraphis mutica,tobosagrass,graminoid,2,230,232,7616.942101,Pleuraphis_mutica,missing,No BIEN range returned
p2veg:NODEE,nrcs_plants_symbol,NODEE,Notholithocarpus densiflorus var. echinoides,tanoak,p2veg_tree_layer;shrub,2,112,125,7556.792069,Notholithocarpus_densiflorus_var._echinoides,missing,No BIEN range returned
p2veg:ALVIC,nrcs_plants_symbol,ALVIC,Alnus viridis ssp. crispa,mountain alder,p2veg_tree_layer;shrub,1,123,140,7478.744708,Alnus_viridis_ssp._crispa,missing,No BIEN range returned
fia_spcd:8641,fia_spcd,8641,Sophora chrysophylla,mamani,seedling;tree,1,20,20,7154.24000570183,Sophora_chrysophylla,missing,No BIEN range returned
