response,group,group_label,term,estimate_baseline,estimate_common_histories,estimate_condition_prop_80,estimate_state_fixed_effects,estimate_mean_monthly_CWD,estimate_no_survey_period,conf_low_baseline,conf_low_common_histories,conf_low_condition_prop_80,conf_low_state_fixed_effects,conf_low_mean_monthly_CWD,conf_low_no_survey_period,conf_high_baseline,conf_high_common_histories,conf_high_condition_prop_80,conf_high_state_fixed_effects,conf_high_mean_monthly_CWD,conf_high_no_survey_period,p_value_baseline,p_value_common_histories,p_value_condition_prop_80,p_value_state_fixed_effects,p_value_mean_monthly_CWD,p_value_no_survey_period,n_baseline,n_common_histories,n_condition_prop_80,n_state_fixed_effects,n_mean_monthly_CWD,n_no_survey_period,sign_consistent
precipitation,community,Combined saplings + adults,fire_cumulative_mortality_pct,-0.122126443037892,,-0.1071537314192,-0.116543268461018,-0.125993033174412,-0.125022758485837,-0.193912480840546,,-0.187393448940359,-0.188583440694441,-0.197697491528738,-0.196796810381824,-0.0503404052352385,,-0.0269140138980404,-0.0445030962275957,-0.0542885748200852,-0.0532487065898502,0.000855076943953495,,0.00886185853190934,0.00152085183133689,0.000573613721474706,0.000640256073267956,76600,,52564,76600,76600,76600,TRUE
precipitation,community,Combined saplings + adults,insect_cumulative_mortality_pct,-0.0560348903262973,,-0.0485352231906241,-0.0546455302113231,-0.0609765720803726,-0.0576674152467247,-0.104752912795003,,-0.102517984108288,-0.104942763224687,-0.109635646165209,-0.106277990716942,-0.00731686785759123,,0.00544753772703954,-0.00434829719795908,-0.0123174979955363,-0.00905683977650718,0.0241761603824078,,0.078038011190863,0.0332210148489731,0.0140458254823848,0.0200654801900437,76600,,52564,76600,76600,76600,TRUE
precipitation,saplings,Saplings,disease_cumulative_mortality_pct,0.0560538285390311,0.0255814996548968,0.0562762225407793,0.11079453111483,0.0494834480072522,0.0681551093482144,-0.0521159203441271,-0.0853445231609271,-0.0786595108038799,-0.000714894682872946,-0.058628927953045,-0.0397438186558069,0.164223577422189,0.136507522470721,0.191211955885439,0.222303956912534,0.157595823967549,0.176054037352236,0.309785475905629,0.65126119013554,0.413677207695249,0.0514869186648156,0.369667420692532,0.215701576887599,50463,48294,35675,50463,50463,50463,TRUE
precipitation,saplings,Saplings,fire_cumulative_mortality_pct,0.107349212416676,0.0246966673558541,0.167438398400719,0.130509148661216,0.0997029354883562,0.105839493494708,-0.0594438613823396,-0.129349442433843,-0.0318325549454747,-0.0359738642962191,-0.0669470641285739,-0.0609788259935248,0.274142286215692,0.178742777145551,0.366709351746912,0.296992161618652,0.266352935105286,0.27265781298294,0.207142849672374,0.753348294427827,0.099582217997751,0.124424688990631,0.240949601851762,0.213671777391663,50463,48294,35675,50463,50463,50463,TRUE
precipitation,saplings,Saplings,insect_cumulative_mortality_pct,-0.120310414972578,-0.129517910496837,-0.0802673215819531,-0.128386360297483,-0.126920454669008,-0.120706185727961,-0.222979195191974,-0.232614560247026,-0.19499919794121,-0.235726666615865,-0.229512000419455,-0.223330384270466,-0.0176416347531815,-0.0264212607466491,0.0344645547773034,-0.0210460539791008,-0.0243289089185599,-0.0180819871854556,0.0216342115029385,0.0138076624705347,0.170304813999647,0.0190663087736862,0.0153196895440767,0.0211506035877621,50463,48294,35675,50463,50463,50463,TRUE
precipitation,trees,Adults,disease_cumulative_mortality_pct,-0.132605611331774,-0.122023434128332,-0.0942659216625615,-0.118857619236274,-0.134623682899486,-0.122109729532277,-0.187398562401307,-0.186392180026232,-0.15055759764643,-0.175380078070811,-0.189422485073061,-0.176744396180453,-0.0778126602622403,-0.0576546882304318,-0.0379742456786929,-0.0623351604017362,-0.0798248807259102,-0.0674750628841006,2.10521812759533e-06,0.000202962755214467,0.00103059024564225,3.76732097650573e-05,1.47414033573912e-06,1.18495822497225e-05,73981,48294,50936,73981,73981,73981,TRUE
precipitation,trees,Adults,fire_cumulative_mortality_pct,-0.163829133607981,-0.078911817985541,-0.158847603754572,-0.157149489842598,-0.16664075168639,-0.166331041579372,-0.220121451152646,-0.167829744990411,-0.218436514830837,-0.21367660305169,-0.222891133963778,-0.222605949025099,-0.107536816063317,0.0100061090193287,-0.0992586926783064,-0.100622376633506,-0.110390369409003,-0.110056134133644,1.17312872581948e-08,0.0819621898857481,1.74983330951305e-07,5.08345667123354e-08,6.40700165403337e-09,6.9363088553385e-09,73981,48294,50936,73981,73981,73981,TRUE
precipitation,trees,Adults,insect_cumulative_mortality_pct,-0.0330059640686823,-0.0168301429613354,-0.023869692904031,-0.0185912781046882,-0.036638884010813,-0.0341864483990098,-0.0728823389602989,-0.0782406420050593,-0.0675882451087611,-0.059608974832381,-0.0764844341434407,-0.0740193453554642,0.00687041082293436,0.0445803560823884,0.019848859300699,0.0224264186230045,0.0032066661218146,0.00564644855744457,0.10474276576798,0.591159154896588,0.284562615684149,0.374345422779397,0.0715084715479697,0.0925420485241775,73981,48294,50936,73981,73981,73981,TRUE
temperature,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.00172191450191647,,0.00102603326757726,0.00252448333415196,0.00171068726307751,0.00200802733392803,0.000804383954573668,,2.89253408472213e-05,0.00158871927150678,0.000792907045389322,0.00109359700798271,0.00263944504925928,,0.00202314119430729,0.00346024739679714,0.00262846748076571,0.00292245765987336,0.000234963189978396,,0.043714418299941,1.24249971748294e-07,0.000259050925550705,1.67936831176523e-05,76600,,52564,76600,76600,76600,TRUE
temperature,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.00109770671099183,,0.00113614591125596,0.00147855921674531,0.00104426782521991,0.00102958970386941,0.000391774562550116,,0.000333292648349282,0.00076799916302089,0.000338428790760769,0.000323800895675701,0.00180363885943355,,0.00193899917416263,0.00218911927046974,0.00175010685967905,0.00173537851206311,0.00230645714067315,,0.00554460674051911,4.53868856011857e-05,0.00373561544305169,0.00424826965420253,76600,,52564,76600,76600,76600,TRUE
