scenario,response,group,group_label,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n,stable_plots
no_survey_period,temperature,community,Combined saplings + adults,cumulative_site_CWD_mm,-2.07279877804852e-06,6.70523601469617e-07,-3.09131367412791,0.00199344496495888,-3.3870216552378e-06,-7.58575900859235e-07,76600,75377
no_survey_period,temperature,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.00200802727865897,0.000466547261108826,4.30401686184283,1.67936752772483e-05,0.00109359699985095,0.002922457557467,76600,75377
no_survey_period,temperature,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.00102958867257703,0.000360097252071893,2.85919613841283,0.00424830745137265,0.000323799874615794,0.00173537747053826,76600,75377
no_survey_period,temperature,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.00188452425795154,0.000444536351756238,4.23930292878483,2.24477207445125e-05,0.00101323525046568,0.00275581326543741,76600,75377
baseline,temperature,saplings,Saplings,cumulative_site_CWD_mm,-5.44127661629374e-06,1.01387556813807e-06,-5.36680909106663,8.04944247367248e-08,-7.42848388384414e-06,-3.45406934874333e-06,50463,50031
baseline,temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.00151282320067383,0.000834155442806337,1.81359866883355,0.069745473587246,-0.000122130644062412,0.00314777704541008,50463,50031
baseline,temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.000580601432948433,0.000876267179036537,0.662584936236924,0.507599446911193,-0.00113689187808495,0.00229809474398181,50463,50031
baseline,temperature,saplings,Saplings,full_survey_period_years,0.00640100334108089,0.00108178412843585,5.91708010204966,3.29815663725972e-09,0.004280694548261,0.00852131213390076,50463,50031
baseline,temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00188231791074236,0.000811030908174449,2.32089540826412,0.020296454211237,0.000292688408285708,0.00347194741319901,50463,50031
mean_monthly_CWD,temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.0014225726822744,0.000833830643545747,1.70606908403499,0.0880013719372529,-0.000211744552337858,0.00305688991688666,50463,50031
mean_monthly_CWD,temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.000441801353727829,0.000875379742315921,0.504696798853251,0.613774013828947,-0.00127395257157014,0.0021575552790258,50463,50031
mean_monthly_CWD,temperature,saplings,Saplings,full_survey_period_years,0.00577766917491852,0.00109910911996273,5.25668386330414,1.47271636650675e-07,0.00362340320810765,0.00793193514172939,50463,50031
mean_monthly_CWD,temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00177854481969138,0.000811146937868625,2.19262964163398,0.0283386232479483,0.000188687897757668,0.0033684017416251,50463,50031
mean_monthly_CWD,temperature,saplings,Saplings,mean_monthly_site_CWD_mm,-0.000430136419978867,0.000128101769215947,-3.3577711112933,0.000786317055530068,-0.000681217296934497,-0.000179055543023236,50463,50031
no_survey_period,temperature,saplings,Saplings,cumulative_site_CWD_mm,-5.6651942687812e-06,1.0174241721507e-06,-5.56817345592028,2.58730413087628e-08,-7.65935683828774e-06,-3.67103169927466e-06,50463,50031
no_survey_period,temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.0018428134463441,0.000833700220611262,2.21040297313699,0.0270816774376486,0.00020875184289512,0.00347687504979308,50463,50031
no_survey_period,temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.000539432855356608,0.000875490514994106,0.616149285592477,0.537798775692337,-0.00117653818479345,0.00225540389550667,50463,50031
no_survey_period,temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00187152562430118,0.000811404863168125,2.3065250274614,0.0210853442705038,0.000281163166698998,0.00346188808190335,50463,50031
baseline,temperature,trees,Adults,cumulative_site_CWD_mm,-1.50687434133757e-06,6.05227906368649e-07,-2.48976348493046,0.0127849914121606,-2.69311864935424e-06,-3.20630033320899e-07,73981,72893
baseline,temperature,trees,Adults,disease_cumulative_mortality_pct,0.000259678995623821,0.000384035156050748,0.676185478158427,0.498925005348587,-0.000493028394682815,0.00101238638593046,73981,72893
baseline,temperature,trees,Adults,fire_cumulative_mortality_pct,0.0010179412311086,0.000288668022074199,3.52633874647516,0.000421602466330254,0.000452153047040011,0.00158372941517718,73981,72893
baseline,temperature,trees,Adults,full_survey_period_years,0.00772037906757751,0.000612827482299112,12.5979648279045,2.36137706748679e-36,0.00651923962072803,0.008921518514427,73981,72893
baseline,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00169259075289167,0.000401090794025886,4.2199690895484,2.44626655971298e-05,0.000906454379461972,0.00247872712632136,73981,72893
mean_monthly_CWD,temperature,trees,Adults,disease_cumulative_mortality_pct,0.000251258433688249,0.000384157552953254,0.654050484642751,0.5130813139784,-0.000501688854064272,0.00100420572144077,73981,72893
mean_monthly_CWD,temperature,trees,Adults,fire_cumulative_mortality_pct,0.000982968760632501,0.000288717167428084,3.40460793997415,0.000662942621824861,0.000417084251864247,0.00154885326940075,73981,72893
mean_monthly_CWD,temperature,trees,Adults,full_survey_period_years,0.00755476170284643,0.00061652273043218,12.2538250901967,1.73100483104509e-34,0.00634637958423902,0.00876314382145383,73981,72893
mean_monthly_CWD,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00165947068426639,0.000400918307649591,4.13917412251673,3.48943824119778e-05,0.000873672383453536,0.00244526898507924,73981,72893
mean_monthly_CWD,temperature,trees,Adults,mean_monthly_site_CWD_mm,-8.83384039830393e-05,7.34057030302465e-05,-1.20342698641058,0.228814981141372,-0.000232213292234727,5.55364842686483e-05,73981,72893
no_survey_period,temperature,trees,Adults,cumulative_site_CWD_mm,-1.56199680826373e-06,6.0680041378271e-07,-2.57415251009217,0.0100505238375882,-2.75132322434318e-06,-3.72670392184283e-07,73981,72893
no_survey_period,temperature,trees,Adults,disease_cumulative_mortality_pct,0.00059176590281669,0.00038191132750223,1.5494850773004,0.121269433848226,-0.000156778791750744,0.00134031059738412,73981,72893
no_survey_period,temperature,trees,Adults,fire_cumulative_mortality_pct,0.00093878152864891,0.000289113373268961,3.24710516858577,0.00116637199100447,0.000372120458121456,0.00150544259917636,73981,72893
no_survey_period,temperature,trees,Adults,insect_cumulative_mortality_pct,0.00165524054280575,0.000401027944372446,4.12749427074459,3.6713882754216e-05,0.000869227354622623,0.00244125373098888,73981,72893
