site_id,latitude,longitude,source
2853836010690,41.777198,-111.587955,FIA
2980288010690,48.290493,-114.760356,FIA
2980455010690,48.263794,-114.512228,FIA
2980543010690,48.257137,-114.112355,FIA
2980754010690,48.274034,-113.635746,FIA
2982106010690,48.18771,-113.895054,FIA
2984406010690,48.063794,-114.85746,FIA
2980408010690,48.265146,-114.575499,FIA
2985753010690,48.015673,-113.755306,FIA
2985833010690,48.005274,-113.542899,FIA
2986087010690,48.025246,-113.087821,FIA
2986118010690,48.004386,-112.995803,FIA
2986214010690,47.965764,-114.860179,FIA
2986588010690,47.96107,-113.627807,FIA
2986734010690,47.970208,-113.416562,FIA
2987842010690,47.864805,-113.422354,FIA
2987957010690,47.875718,-113.192813,FIA
2988064010690,47.833175,-113.593277,FIA
2988135010690,47.838581,-113.470584,FIA
2988204010690,47.830316,-113.349921,FIA
2988788010690,47.746112,-113.418172,FIA
2989627010690,47.610648,-113.31078,FIA
2992816010690,45.873656,-111.016242,FIA
2993648010690,45.519899,-111.073763,FIA
2993828010690,45.479109,-111.265637,FIA
2994301010690,45.372147,-111.188511,FIA
2994490010690,45.344309,-111.142466,FIA
2994762010690,45.51623,-111.145458,FIA
2995062010690,45.146985,-111.251372,FIA
2996425010690,44.801098,-111.332057,FIA
2996577010690,44.693273,-111.251928,FIA
2992224010690,46.134392,-111.251933,FIA
2992365010690,46.097596,-111.198722,FIA
2992490010690,46.141869,-111.002072,FIA
2993112010690,45.699022,-110.930131,FIA
2993209010690,45.64226,-110.866042,FIA
2993144010690,45.700754,-110.85691,FIA
2993784010690,45.46367,-111.319289,FIA
2994549010690,45.28998,-111.305563,FIA
2994922010690,45.212547,-111.31279,FIA
2995364010690,45.102231,-111.071956,FIA
2997533010690,47.521428,-107.450072,FIA
2997418010690,47.55261,-107.704081,FIA
2997648010690,47.467594,-107.645304,FIA
2997620010690,47.465723,-107.836306,FIA
2997228010690,47.648327,-107.406733,FIA
2997796010690,47.475523,-107.408117,FIA
2997716010690,47.426838,-107.656521,FIA
2998003010690,47.330958,-107.863494,FIA
2997899010690,47.376473,-107.769247,FIA
2998344010690,47.15158,-107.910565,FIA
