response,group,term,scenario,group_label_robustness,estimate_robustness,std_error_robustness,statistic_robustness,p_value_robustness,conf_low_robustness,conf_high_robustness,n,stable_plots,model_id,group_label_approved,estimate_approved,std_error_approved,statistic_approved,p_value_approved,conf_low_approved,conf_high_approved,estimate_absolute_difference,standard_error_absolute_difference
CWD,seedlings,disease_cumulative_mortality_pct,baseline,Seedlings,0.0340918186036687,0.0431300219998634,0.790442875354357,0.42927232725664,-0.0504431940154784,0.118626831222816,59395,58711,seedlings__CWD,Seedlings,0.0340918186036687,0.0431300219998634,0.790442875354357,0.42927232725664,-0.0504431940154784,0.118626831222816,2.77555756156289e-17,2.08166817117217e-17
CWD,seedlings,fire_cumulative_mortality_pct,baseline,Seedlings,-0.210810367458222,0.0462693922502561,-4.5561516416299,5.22028633905746e-06,-0.301498558105749,-0.120122176810694,59395,58711,seedlings__CWD,Seedlings,-0.210810367458222,0.0462693922502561,-4.5561516416299,5.22028633905748e-06,-0.301498558105749,-0.120122176810694,2.22044604925031e-16,4.85722573273506e-17
CWD,seedlings,full_survey_period_years,baseline,Seedlings,-0.0896440732737601,0.0513056489574619,-1.74725542109573,0.080598210636866,-0.190203346859716,0.0109152003121962,59395,58711,seedlings__CWD,Seedlings,-0.0896440732737601,0.0513056489574619,-1.74725542109573,0.080598210636866,-0.190203346859716,0.0109152003121962,4.16333634234434e-17,4.85722573273506e-17
CWD,seedlings,insect_cumulative_mortality_pct,baseline,Seedlings,-0.0198092145520895,0.0411630628715196,-0.481237623495588,0.630349396782141,-0.100488979549605,0.0608705504454259,59395,58711,seedlings__CWD,Seedlings,-0.0198092145520895,0.0411630628715196,-0.481237623495588,0.630349396782141,-0.100488979549605,0.0608705504454259,4.16333634234434e-17,2.77555756156289e-17
CWD,trees,cumulative_site_CWD_mm,baseline,Adults,0.000192672543110371,4.34551184629355e-05,4.43382850917111,9.27073347370247e-06,0.0001075006824139,0.000277844403806842,73981,72893,trees__CWD,Adults,0.000192672543110371,4.34551184629355e-05,4.43382850917111,9.27073347370251e-06,0.0001075006824139,0.000277844403806842,1.35525271560688e-19,4.74338450462408e-20
CWD,trees,disease_cumulative_mortality_pct,baseline,Adults,0.189783950390506,0.0314899270332284,6.02681454899037,1.68010472327223e-09,0.128063817676939,0.251504083104074,73981,72893,trees__CWD,Adults,0.189783950390506,0.0314899270332284,6.02681454899037,1.68010472327223e-09,0.128063817676939,0.251504083104074,1.94289029309402e-16,0
CWD,trees,fire_cumulative_mortality_pct,baseline,Adults,0.132605900149637,0.0268607453363606,4.93679153311252,7.95907393013558e-07,0.0799589452933698,0.185252855005904,73981,72893,trees__CWD,Adults,0.132605900149637,0.0268607453363606,4.93679153311252,7.95907393013558e-07,0.0799589452933698,0.185252855005904,3.33066907387547e-16,3.46944695195361e-18
CWD,trees,full_survey_period_years,baseline,Adults,0.0120898304110454,0.0268780679374507,0.449802807224843,0.652853951472346,-0.0405910766749963,0.064770737497087,73981,72893,trees__CWD,Adults,0.0120898304110454,0.0268780679374507,0.449802807224843,0.652853951472346,-0.0405910766749963,0.064770737497087,3.6429192995513e-17,1.73472347597681e-17
CWD,trees,insect_cumulative_mortality_pct,baseline,Adults,0.100562356682281,0.0224052834134037,4.48833227532933,7.18910207640706e-06,0.0566480896120152,0.144476623752546,73981,72893,trees__CWD,Adults,0.100562356682281,0.0224052834134037,4.48833227532933,7.18910207640706e-06,0.0566480896120152,0.144476623752546,3.33066907387547e-16,3.12250225675825e-17
precipitation,community,cumulative_site_CWD_mm,baseline,Pooled all live,-0.000275333833983974,4.55908237079064e-05,-6.0392379779755,1.55544099997248e-09,-0.000364691599102256,-0.000185976068865692,77669,76422,community__precipitation,Pooled all live,-0.000275333833983974,4.55908237079064e-05,-6.03923797797551,1.55544099997241e-09,-0.000364691599102256,-0.000185976068865693,1.0842021724855e-19,3.3881317890172e-20
