response,group,group_label,term,estimate_baseline,estimate_common_histories,estimate_condition_prop_80,estimate_state_fixed_effects,estimate_mean_monthly_CWD,estimate_no_survey_period,conf_low_baseline,conf_low_common_histories,conf_low_condition_prop_80,conf_low_state_fixed_effects,conf_low_mean_monthly_CWD,conf_low_no_survey_period,conf_high_baseline,conf_high_common_histories,conf_high_condition_prop_80,conf_high_state_fixed_effects,conf_high_mean_monthly_CWD,conf_high_no_survey_period,p_value_baseline,p_value_common_histories,p_value_condition_prop_80,p_value_state_fixed_effects,p_value_mean_monthly_CWD,p_value_no_survey_period,n_baseline,n_common_histories,n_condition_prop_80,n_state_fixed_effects,n_mean_monthly_CWD,n_no_survey_period,sign_consistent
precipitation,seedlings,Seedlings,insect_cumulative_mortality_pct,-0.0234185454983736,-0.0737559944305311,-0.0089475091263052,-0.0526727854536708,-0.0259467626591725,-0.0281419354211901,-0.0969958608085145,-0.179704013170406,-0.0911426946262277,-0.129088950300525,-0.0993503141365108,-0.101626160410994,0.0501587698117673,0.0321920243093444,0.0732476763736173,0.0237433793931835,0.0474567888181658,0.0453422895686136,0.532735341728943,0.172425935869727,0.83104585086488,0.176697944872125,0.488422592810437,0.452887836309536,59395,42181,41245,59395,59395,59395,TRUE
precipitation,trees,Adults,disease_cumulative_mortality_pct,-0.13260565355131,-0.12120684522095,-0.0942659565365926,-0.118857665346925,-0.134623726126855,-0.122109773120868,-0.187398617942676,-0.191014350968395,-0.150557646414506,-0.175380137809579,-0.189422541642092,-0.176744452977404,-0.0778126891599432,-0.0513993394735052,-0.0379742666586788,-0.0623351928842719,-0.0798249106116169,-0.067475093264333,2.10521441739681e-06,0.000666670146886784,0.00103058876877064,3.76731107991374e-05,1.47413757709218e-06,1.1849554809997e-05,73981,42181,50936,73981,73981,73981,TRUE
precipitation,trees,Adults,fire_cumulative_mortality_pct,-0.16382923019873,-0.0753699438844541,-0.158847691152048,-0.157149592290521,-0.166640848763093,-0.166331137843778,-0.220121562874853,-0.17913040579249,-0.218436613553845,-0.213676720815426,-0.222891246129558,-0.222606060368911,-0.107536897522607,0.0283905180235817,-0.0992587687502505,-0.100622463765615,-0.110390451396628,-0.110056215318645,1.17311613062143e-08,0.154532789887047,1.7498155251662e-07,5.08339737123362e-08,6.40693188443333e-09,6.93623449851238e-09,73981,42181,50936,73981,73981,73981,TRUE
precipitation,trees,Adults,insect_cumulative_mortality_pct,-0.0330059743178034,0.00842084812133197,-0.0238697030831102,-0.0185912910459414,-0.0366388953646222,-0.0341864584941517,-0.0728823543437603,-0.0604268843780747,-0.0675882634858185,-0.059608993374287,-0.0764844506477713,-0.0740193606244279,0.00687040570815346,0.0772685806207386,0.0198488573195982,0.0224264112824042,0.00320665991852691,0.00564644363612451,0.104742702659905,0.81053887438303,0.284562500613686,0.374345155480559,0.0715084203553696,0.0925419945838595,73981,42181,50936,73981,73981,73981,FALSE
temperature,community,Pooled all live,disease_cumulative_mortality_pct,0.00130913125314078,,0.00106557654793707,0.00123883610473194,0.00129579083145406,0.00163436346755368,0.000395044063488327,,6.23517568589171e-05,0.000312075246170932,0.000381550098602759,0.000719912906891445,0.00222321844279323,,0.00206880133901523,0.00216559696329295,0.00221003156430537,0.00254881402821592,0.00500096544772169,,0.037363159108754,0.00879472799914167,0.00547110210040409,0.000460264240798348,77669,,53280,77669,77669,77669,TRUE
temperature,community,Pooled all live,fire_cumulative_mortality_pct,4.18557506382091e-05,,-0.000110983227133842,0.000188344935023175,8.5587752635178e-06,-5.78054984039266e-05,-0.000560772088969103,,-0.000777742946759022,-0.000419062758467867,-0.000593382843449005,-0.000661670277251455,0.000644483590245521,,0.000555776492491338,0.000795752628514217,0.000610500393976041,0.000546059280443602,0.89171714015697,,0.744239092417848,0.543351775304692,0.977767179560595,0.851173283295627,77669,,53280,77669,77669,77669,FALSE
temperature,community,Pooled all live,insect_cumulative_mortality_pct,0.000612658402981776,,0.000487819297412577,0.00129207115126347,0.000575261423308102,0.000563340546978761,-0.000268775368968429,,-0.000527241249726045,0.000385702503905742,-0.000305137481044536,-0.000318879723777354,0.00149409217493198,,0.0015028798445512,0.00219843979862121,0.00145566032766074,0.00144556081773488,0.173096480669981,,0.346225691239287,0.00520628625603954,0.200309922160837,0.21073698740671,77669,,53280,77669,77669,77669,TRUE
temperature,saplings,Saplings,disease_cumulative_mortality_pct,0.00151282320067383,0.00119151409310474,0.000573474354792896,0.00267037816856018,0.0014225726822744,0.0018428134463441,-0.000122130644062412,-0.000575146982815831,-0.00127766627815723,0.000998905650934923,-0.000211744552337857,0.00020875184289512,0.00314777704541008,0.0029581751690253,0.00242461498774303,0.00434185068618544,0.00305688991688666,0.00347687504979308,0.069745473587246,0.186200618850606,0.543716812834995,0.00174102243087443,0.0880013719372529,0.0270816774376486,50463,42181,35675,50463,50463,50463,TRUE
temperature,saplings,Saplings,fire_cumulative_mortality_pct,0.000580601432948433,0.000334190341010673,0.000357611554603982,0.00119685339892247,0.000441801353727829,0.000539432855356608,-0.00113689187808495,-0.00172339356371662,-0.00169366974290121,-0.000514356978334334,-0.00127395257157014,-0.00117653818479345,0.00229809474398181,0.00239177424573796,0.00240889285210918,0.00290806377617927,0.0021575552790258,0.00225540389550667,0.507599446911193,0.750225462735736,0.7325762147209,0.170421786197367,0.613774013828947,0.537798775692337,50463,42181,35675,50463,50463,50463,TRUE
temperature,saplings,Saplings,insect_cumulative_mortality_pct,0.00188231791074236,0.00130434888005042,0.0024080991364803,0.00247722270660696,0.00177854481969138,0.00187152562430118,0.000292688408285709,-0.000426570148304054,0.000724364876475518,0.000824743477506978,0.000188687897757668,0.000281163166698998,0.00347194741319901,0.0030352679084049,0.00409183339648508,0.00412970193570695,0.0033684017416251,0.00346188808190335,0.020296454211237,0.139685768727097,0.00506159095669603,0.00330228750425195,0.0283386232479483,0.0210853442705038,50463,42181,35675,50463,50463,50463,TRUE
temperature,seedlings,Seedlings,disease_cumulative_mortality_pct,0.000327389608039137,7.45818438783017e-06,-0.000246692752270431,-0.000182530830308817,0.000260556945841308,0.000634303556237736,-0.00100954265551053,-0.00176089985112881,-0.00179918632276167,-0.0015555914149347,-0.00107556547258826,-0.000702776612923622,0.00166432187158881,0.00177581621990447,0.0013058008182208,0.00119052975431706,0.00159667936427087,0.00197138372539909,0.631251801272596,0.993404374148702,0.755460622549944,0.794434718281719,0.702299596343109,0.352470555070491,59395,42181,41245,59395,59395,59395,FALSE
temperature,seedlings,Seedlings,fire_cumulative_mortality_pct,-0.000718540353677014,-0.000149533702616555,-0.000808614902100397,-0.000688642137037583,-0.000773569617504174,-0.000841179086418534,-0.00155036257856457,-0.0019725388856409,-0.00172136201500958,-0.00152157999209976,-0.00160495944967334,-0.00167397256749486,0.000113281871210537,0.00167347148040779,0.000104132210808789,0.000144295718024597,5.7820214664988e-05,-8.38560534220656e-06,0.0904454064184867,0.872273363038978,0.0824989517010687,0.105139112293206,0.0682035805800091,0.0477373944088478,59395,42181,41245,59395,59395,59395,TRUE
temperature,seedlings,Seedlings,insect_cumulative_mortality_pct,-0.000488754538064454,-0.000732810610892904,-0.000579909388268439,0.000529417585810964,-0.000556107279084527,-0.000610530899350257,-0.00160366623580354,-0.00233910656016453,-0.00184376700274684,-0.000620798554604247,-0.00166957687742454,-0.0017285828190669,0.000626157159674634,0.000873485338378722,0.000683948226209958,0.00167963372622618,0.000557362319255482,0.000507521020366391,0.390219459488461,0.371228724520034,0.368478031641872,0.366984050688693,0.327634683225415,0.284491867003996,59395,42181,41245,59395,59395,59395,FALSE
temperature,trees,Adults,disease_cumulative_mortality_pct,0.000259678995623821,-0.000480724206819169,0.000306678721372441,0.000647918984904543,0.000251258433688249,0.00059176590281669,-0.000493028394682815,-0.0015287096305201,-0.000490311936740682,-0.000123369989584799,-0.000501688854064272,-0.000156778791750744,0.00101238638593046,0.00056726121688176,0.00110366937948556,0.00141920795939388,0.00100420572144077,0.00134031059738412,0.498925005348587,0.368611911453175,0.450730229462457,0.0996674122757032,0.5130813139784,0.121269433848226,73981,42181,50936,73981,73981,73981,FALSE
temperature,trees,Adults,fire_cumulative_mortality_pct,0.0010179412311086,0.00146305915231704,0.00103148754822868,0.00131120721184175,0.000982968760632501,0.00093878152864891,0.000452153047040011,9.22129313965122e-05,0.000419152899634263,0.000742774390041167,0.000417084251864247,0.000372120458121456,0.00158372941517718,0.00283390537323757,0.0016438221968231,0.00187964003364233,0.00154885326940076,0.00150544259917636,0.000421602466330254,0.0364565382610868,0.000961774212936901,6.16045412524021e-06,0.000662942621824862,0.00116637199100447,73981,42181,50936,73981,73981,73981,TRUE
temperature,trees,Adults,insect_cumulative_mortality_pct,0.00169259075289167,0.00193223823775837,0.00167920907823739,0.00189767946395519,0.00165947068426639,0.00165524054280575,0.000906454379461972,0.000760829648779502,0.000821045779448499,0.00108105641637879,0.000873672383453536,0.000869227354622623,0.00247872712632136,0.00310364682673723,0.00253737237702629,0.00271430251153159,0.00244526898507924,0.00244125373098888,2.44626655971298e-05,0.00122568961316961,0.000125589580690583,5.25528085180626e-06,3.48943824119778e-05,3.67138827542157e-05,73981,42181,50936,73981,73981,73981,TRUE
